"행정구역별(시군구)","연령별",2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"행정구역별(시군구)","연령별",1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자
"대구광역시","55~59",26846,12839,14007,27615,13571,14044,27999,14178,13821,28350,14512,13838,29671,15472,14199
"대구광역시","60~64",26831,10986,15845,29264,12107,17157,32418,13631,18787,33968,14397,19571,36226,15789,20437
"대구광역시","65~69",21470,7180,14290,24493,8256,16237,27636,9649,17987,29791,10745,19046,32200,12101,20099
"대구광역시","70~74",17663,4673,12990,19568,5310,14258,21693,5993,15700,23638,6753,16885,25494,7495,17999
"대구광역시","75~79",17164,3468,13696,17391,3545,13846,17391,3681,13710,17952,3910,14042,19703,4468,15235
"대구광역시","80~84",12559,2200,10359,13637,2396,11241,14898,2714,12184,16581,3052,13529,18262,3464,14798
"대구광역시","85세 이상",7221,1215,6006,8370,1508,6862,9739,1762,7977,11135,2000,9135,13359,2368,10991
"인천광역시","합계",297865,155137,142728,324841,168675,156166,355657,185694,169963,376392,195777,180615,395278,205194,190084
"인천광역시","20세 미만",1803,851,952,2510,1132,1378,2040,946,1094,1643,769,874,1447,665,782
"인천광역시","20~24",15019,6734,8285,17208,7512,9696,18002,8131,9871,17146,7863,9283,17023,7731,9292
"인천광역시","25~29",29114,17113,12001,34268,19536,14732,39351,22181,17170,40818,22403,18415,41117,22184,18933
"인천광역시","30~34",25370,16841,8529,28844,18969,9875,34119,22283,11836,39117,25207,13910,42811,27152,15659
"인천광역시","35~39",24992,16628,8364,25483,17076,8407,26996,18134,8862,27779,18450,9329,28643,19055,9588
"인천광역시","40~44",22235,14688,7547,23655,15500,8155,26065,17234,8831,27629,18311,9318,29198,19313,9885
"인천광역시","45~49",26476,17027,9449,26709,17368,9341,27001,17532,9469,27026,17477,9549,27003,17474,9529
"인천광역시","50~54",26102,16067,10035,27592,17090,10502,29864,18500,11364,31782,19695,12087,32782,20442,12340
"인천광역시","55~59",29383,15909,13474,30473,16753,13720,31584,17657,13927,31987,18076,13911,33328,18946,14382
"인천광역시","60~64",28723,13349,15374,31801,14901,16900,35785,16869,18916,37758,18056,19702,39416,19191,20225
"인천광역시","65~69",19645,7759,11886,22911,9335,13576,27344,11288,16056,30340,12599,17741,34530,14606,19924
"인천광역시","70~74",16738,5326,11412,18468,5969,12499,19652,6504,13148,21407,7340,14067,22726,7946,14780
"인천광역시","75~79",14735,3496,11239,15499,3823,11676,16333,4155,12178,17349,4599,12750,18678,5120,13558
"인천광역시","80~84",10645,2126,8519,11459,2247,9212,12460,2553,9907,14287,3013,11274,15175,3240,11935
"인천광역시","85세 이상",6885,1223,5662,7961,1464,6497,9061,1727,7334,10324,1919,8405,11401,2129,9272
"광주광역시","합계",182364,91221,91143,193948,96817,97131,212385,106566,105819,221464,110517,110947,228970,113705,115265
"광주광역시","20세 미만",2512,1110,1402,2761,1231,1530,2132,900,1232,1808,821,987,1631,731,900
"광주광역시","20~24",16440,7204,9236,17982,7548,10434,18368,7713,10655,17654,7511,10143,17670,7605,10065
"광주광역시","25~29",20768,11762,9006,23291,12753,10538,27151,14843,12308,28028,14974,13054,27500,14613,12887
"광주광역시","30~34",16414,10458,5956,17700,11320,6380,19940,12653,7287,22296,13965,8331,23424,14486,8938
"광주광역시","35~39",15563,10228,5335,15817,10407,5410,16565,10938,5627,16207,10610,5597,15616,10208,5408
"광주광역시","40~44",13061,8568,4493,13684,9019,4665,15024,9855,5169,15873,10419,5454,16166,10585,5581
"광주광역시","45~49",14674,9376,5298,14641,9456,5185,15418,10024,5394,15323,9935,5388,15073,9685,5388
